theorem,mutant,result,encoding,nunchaku,recovery
Option.not_lt_none,0,UNSAT,144,240,0
Option.pelim_eq_elim,0,UNSAT,53,3289,0
Option.isSome_get_of_isSome_pbind,0,UNSAT,42,214,0
Option.get_filter,0,UNSAT,35,169,1
Option.getD_map,0,UNSAT,26,158,0
Option.get_eq_get!,0,ERR_ENCODING,10,0,0
Option.min_join_left,0,UNSAT,43,113,0
Option.none_or,0,UNSAT,20,121,0
Option.map_orElse,0,UNSAT,49,166,1
Option.all_eq_false_iff_get,0,UNSAT,14,209,0
Option.some_le_some,0,UNSAT,47,216,0
Option.join_beq_none,0,UNSAT,135,270,1
Option.get_join,0,UNSAT,48,229,0
Option.pmap_eq_none_iff,0,UNSAT,60,237,0
Option.guard_le_some,0,UNSAT,135,231,0
Option.or_of_isSome,0,UNSAT,22,212,0
Option.none_orElse,0,UNSAT,26,162,0
Option.all_guard,0,UNSAT,33,278,0
Option.min_some_guard,0,UNSAT,28,210,1
Option.default_eq_none,0,UNSAT,8,216,0
Option.or_assoc,0,UNSAT,22,167,0
Option.right_le_of_merge_le,0,UNSAT,69,1225,0
Option.none_lt_some,0,UNSAT,179,288,0
Option.get_none_eq_iff_true,0,UNSAT,66,329,1
Option.isSome_map,0,UNSAT,52,231,0
Option.all_true,0,UNSAT,29,174,0
Option.bind_eq_none_iff,0,UNSAT,44,214,1
Option.isNone_merge,0,UNSAT,33,216,0
Option.all_eq_false,0,UNSAT,36,330,0
Option.getD_guard,0,UNSAT,59,246,0
Option.all_eq_true,0,UNSAT,31,388,0
Option.eq_some_of_pfilter_eq_some,0,UNSAT,40,275,0
Option.or_eq_bif,0,UNSAT,44,384,0
Option.merge_max,0,UNSAT,85,268,0
Option.pfilter_eq_none_iff,0,UNSAT,69,302,0
Option.or_eq_left_of_none,0,UNSAT,19,280,0
Option.commutative_merge,0,UNSAT,112,563,0
Option.exists,0,UNSAT,24,289,0
Option.filter_none,0,UNSAT,29,175,0
Option.pmap_guard,0,UNSAT,45,219,0
Option.min_eq_none_iff,0,UNSAT,40,477,0
Option.get_ite',0,UNSAT,61,178,1
Option.isSome_choice,0,UNSAT,55,220,0
Option.isSome_pmap,0,UNSAT,56,338,0
Option.map_id_fun,0,UNSAT,39,189,1
Option.pfilter_guard,0,UNSAT,72,224,0
Option.filter_some_eq_some,0,UNSAT,77,274,0
Option.instAssociativeOr,0,UNSAT,110,296,0
Option.not_isNone,0,UNSAT,89,231,0
Option.elim_join,0,UNSAT,99,227,0
Option.map_pmap,0,UNSAT,188,231,0
Option.filter_le,0,UNSAT,109,437,0
Option.eq_some_iff_get_eq,0,UNSAT,44,216,1
Option.guard_apply,0,UNSAT,43,327,1
Option.pmap_pred_congr,0,UNSAT,21,269,0
Option.bind_map_comm,0,UNSAT,91,272,1
Option.isNone_choice_eq_false,0,UNSAT,86,247,0
Option.all_false,0,UNSAT,54,238,0
Option.mem_bind_iff,0,UNSAT,107,325,1
Option.pmap_some',0,UNSAT,67,226,1
Option.max_join_right,0,UNSAT,93,328,0
Option.getD_join,0,UNSAT,127,187,3
Option.mem_some_self,0,UNSAT,10,184,0
Option.pfilter_eq_filter,0,UNSAT,92,393,0
Option.isSome_pfilter_iff,0,UNSAT,121,399,0
Option.self_beq_filter,0,UNSAT,272,437,0
Option.guard_eq_filter,0,UNSAT,10,159,0
Option.get!_choice,0,ERR_ENCODING,14,0,0
Option.get_eq_getD,0,UNSAT,12,107,0
